nombre_volcan lon lat distancia
Arenales -73.483 -47.2 20
"Burney, Monte" -73.4 -52.33 20
Cay -72.984 -45.059 20
"Cayute-La Vigueria" -72.27 -41.25 20
Chaiten -72.651 -42.835 20
Corcovado -72.794 -43.189 20
Fueguino -70.262 -54.97 20
Hornopiren -72.431 -41.874 20
Huequi -72.578 -42.377 20
Lautaro -73.504 -49.019 20
Maca -73.17 -45.1 20
Melimoyu -72.88 -44.08 20
Mentolat -73.08 -44.7 20
Meullin -73.05 -45.22 20
Michinmahuida -72.445 -42.799 20
Osorno -72.496 -41.105 20
"Palena Volcanic Group" -72.83 -43.42 20
"Pali-Aike Volcanic Field" -69.698 -52.082 20
Puyuhuapi -72.53 -44.3 20
Reclus -73.58 -50.964 20
"Río Murta" -72.667 -46.167 20
Tronador -71.885 -41.157 20
Yanteles -72.782 -43.469 20
Yate -72.396 -41.755 20
"Crater Basalt Volcanic Field" -70.194 -42.018 20
